!GEAR.DAT - Gear data file - JW 960204 (Update from PM 960201)
!-------------------------------------------------------------
!A Few Notes:
!This file is an update of Paolo's Gear.Dat file, to include nearly all gear and
!other stuff I could find in various sourcebooks, both FASA-published and from
!the net. A small number of things are still omitted mainly because I just couldn't
!get myself to do absolutely _everything_ :) I added another category to the
!firearms, to show which accessories are included off-the-shelf with each weapon.
!Also, the cyberdecks and related equipment have *not* been updated to VR 2.0
!standards (yet).
!                                                                       -Gurth
! Types:
!-------
0-1|Edged weapon|7|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|
0-2|Bow and crossbow|7|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|
0-3|Firearms|9|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|
0-4|Rockets and Missiles|6|Intelligence|Damage|Weight|Availability|$Cost|Street Index|
0-5|Ammunition|6|Concealability|Damage|Weight|Availability|$Cost|Street Index|
0-6|Firearms Accessories|7|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-7|Explosives|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-8|Clothing and Armor|7|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|
0-9|S+S Vision Enhancers|6|Concealability|Magnification|Weight|Availability|$Cost|Street Index|
0-10|Surveillance and Security|5|Concealability|Weight|Availability|$Cost|Street Index|
0-11|Cyberdecks|9|Persona|Hardening|Memory|Storage|Load|I/O|Availability|$Cost|Street Index|
0-12|Cyberdeck Other|3|Availability|$Cost|Street Index|
0-13|Biotech|5|Rating|Availability|Weight|$Cost|Street Index|
0-14|Lifestyle|5|Concealability|Weight|Availability|$Cost|Street Index|
0-15|Magical Equipment|3|Availability|$Cost|Street Index|
0-16|Extras|1|$Cost|
0-17|Cars|9|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|
0-18|Vehiclegear|3|Availability|$Cost|Street Index|
0-19|VehicleFire|8|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|
0-20|Chips|6|Type|Rating|Memory|Availability|$Cost|Street Index|
0-21|Stuff With Ratings|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-22|Drugs|6|Addiction|Tolerance|Strength|Availability|$Cost|Street Index|
0-23|Vehicle modifications|3|$Cost|Equipment|CF|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Ares Monosword                 1|3|1|(STR+3)M|2|4/24hrs|1000|1|
4-* DinaTech F5C                   1|8|0|(STR/2)L/(STR)L|-|10/14 days|350|3|
4-* Drug-A-Thug                    1|6|0|drug|.5|3/8hrs|150|2|
4-* Fashion Gloves                 1|-|0|(STR+1)M Stun|.2|4/36hrs|350|1|
4-* Forearm Snap Blades            1|7|-|(STR)M|1.5|4/48hrs|850|2|
4-* IMI "Chainknife"               1|6|0|(STR+5)L|.75|6/48hrs|120|1.2|
4-* Kitchen Sink                   1|-|0|((2x STR)-6)S Stun|10|always|100|1|
4-* Shock Glove                    1|9|-|7S Stun|.5|5/48hrs|950|2|
4-* Taser II                       1|7|0|5S Stun|.5|4/24hrs|300|1|
4-* Techtronica Black-Zap Glove    1|4|0|9S Stun|1|6/48hrs|1200|2.2|
2-Projectile weapons
3-Bows
4-* Arrows                         2|3|-|(As bow)|.1|3/36hrs|10|1|
4-* Standard Bow                   2|2|1+|(STR Min.+2)M|1|3/36hrs|100xSTR Min.|1|
4-* Ranger-X Arrows                2|4|-|(As bow)|.08|3/36hrs|18|1|
4-* Ranger-X Bow                   2|3|2+|(STR+4)M|1.5|5/36hrs|120xSTR Min.|2|
3-Crossbows
4-* Bolts                          2|4|-|(As crossbow)|.05|5/36hrs|5|1|
4-* Light Crossbow                 2|2|3|6L|2|4/36hrs|300|1|
4-* Medium Crossbow                2|2|4|6M|3|5/36hrs|500|1|
4-* Heavy Crossbow                 2|-|5|8S|4|6/36hrs|750|1|
2-Throwing weapons
3-Non aerodynamic
4-* Throwing Knife                 2|9|-|(STR)L|.25|2/24hrs|20|1|
3-Aerodynamic
4-* Shuriken                       2|8|-|(STR)L|.25|2/24hrs|30|2|
2-Firearms
3-Pistols
4-Hold out
5-* Barton Arms Bracer             3|7|1|SS|6L|.3|12/7days|1300|3|None|
5-* Barton Arms Gun Cane           3|2/9|1|SS|6L|1|10/7days|500|2|None|
5-* BudgetArms C13                 3|8|8(c)|SA|4L|.5|2/8hrs|150|.75|None|
5-* Ceska Diplomat                 3|8|6(cy)|SS|4L|.5|3/12hrs|250|1|None|
5-* Colt Take-Down                 3|8|2(b)|SA|7M|.5|4/12hrs|150|.8|None|
5-* Dai Lung Cybermag 15           3|7|10(c)|SA|4L|.5|3/12hrs|100|.7|None|
5-* Federated Arms X-22            3|7|10(c)|SA|4L|.5|2/12hrs|300|.8|None|
5-* Fichetti Tiffani Needler       3|8|4(c)|SA|5L|.5|7/48hrs|650|2|None|
5-* Hämmerli Model 520             3|4|6(c)|SA|6L|1.25|8/4days|1000|1|Recoil Compensation (1)|
5-* H&K P48                        3|8|6(c)|SA/BF|4L|.45|4/24hrs|300|1.5|None|
5-* Morrissey Élan                 3|8|5(c)|SA|5L|.5|8/7days|500|2|None|
5-* North Industries Firing Knife  3|6|5(cy)|SA|4L|.5|5/12hrs|250|1|None|
5-* Raecor Sting                   3|9|5(c)|SS|4M(f)|.25|10/7days|375|2|None|
5-* Star Model DWT                 3|7|6(c)|SA|5L|.5|3/18hrs|300|.8|None|
5-* Streetline Special             3|8|6(c)|SS|4L|.5|2/12hrs|100|.75|None|
5-* Tiffani Self-Defender          3|8|4(c)|SS|4L|.5|2/12hrs|450|.75|None|
5-* Walther Palm Pistol            3|9|2(b)|SS|4L|.25|3/12hrs|200|.75|None|
4-Light
5-* Ares Hornet                    3|8|7(cy)|DAR(SA)|7L|2|4/48hrs|250|.8|None|
5-* Ares Light Fire 70             3|5|16(c)|SA|6L|1|3/12hrs|475|.8|None|
5-* Ares Scorpion                  3|8|7(cy)|DAR(SA)|7L|2.25|4/48hrs|275|1|Laser Sight|
5-* Beretta Model 101T             3|5|12(c)|SA|6L|1|3/12hrs|350|.8|None|
5-* Ceska vz/120                   3|7|18(c)|SA|6L|1|3/12hrs|500|.8|None|
5-* Colt American L36              3|6|11(c)|SA|6L|1|3/12hrs|350|.8|None|
5-* Colt Protector                 3|8|6(cy)|SS|6L|.75|2/12hrs|300|.7|None|
5-* Dai Lung Streetmaster          3|6|12(c)|SA|6L|1|3/12hrs|325|.8|None|
5-* Federated Arms X-9mm           3|5|12(c)|SA|6L|1|3/12hrs|450|.75|None|
5-* Fichetti Security 500          3|7|12(c)|SA|6L|1|3/12hrs|400|.8|None|
5-* Fichetti Security 500a         3|6|25(c)|SA|6L|1.25|3/12hrs|450|.8|None|
5-* Glock 19 Mk.IV                 3|5|17(c)|SA|6L|1|8/24hrs|750|2|Laser Sight, Recoil Compensation (1)|
5-* Glock 19 Mk.IV Smart           3|5|17(c)|SA|6L|1|8/24hrs|950|2|Smartlink, Recoil Compensation (1)|
5-* Glock 19 Mk.IV Smart II        3|5|17(c)|SA|6L|1|8/24hrs|1150|2|Smartlink II, Recoil Compensation (1)|
5-* H&K Cavaet                     3|5|9(c)|SA|6L|1.25|4/24hrs|500|1|None|
5-* H&K P7S15                      3|6|15(c)|SA|6L|1|4/24hrs|400|1|None|
5-* H&K P11M8                      3|8|8(c)|SA|6L|1|5/36hrs|600|1.25|None|
5-* H&K P11M13                     3|8|13(c)|SA|6L|1|5/36hrs|650|1.25|None|
5-* Hammerli 610S                  3|4|6(c)|SA|6L|2.5|8/24hrs|1295|2.5|Customized|
5-* Mauser Ladyline                3|7|8(c)|SA|6L|.75|4/24hrs|350|1|None|
5-* Militech Arms Avenger          3|6|10(c)|SA|6L|1|3/12hrs|325|.8|None|
5-* Powell Knife Pistol            3|8|1(b)|SS|6L/(STR)L|.5|5/48hrs|250|1|None|
5-* Ruger P-8                      3|8|10(c)|SA|7L|.75|4/24hrs|395|1|None|
5-* Seco LD-120                    3|5|22(c)|SA|6L|1.25|3/12hrs|400|.8|Laser Sight|
5-* S&W Model 6739                 3|8|5(cy)|SS|6L|.75|3/36hrs|250|.9|None|
5-* Thumper                        3|6|10(c)|SA|5L Stun|1.25|3/12hrs|120|.75|None|
5-* Walther PB-120                 3|8|15(c)|SA|6L|.75|6/36hrs|700|2|None|
4-Machine pistols
5-* Ares Assault Machine Pistol    3|6|40(c)|SA/BF/FA|6L|2.75|8/36hrs|1000|2|Improved Gas Vent (2)|
5-* Ares Black Widow               3|6|21(c)|SA/BF|6L|1|14/7days|1500|3|Silencer, Smartlink II|
5-* Ares Crusader MP               3|6|40(c)|SA/BF|6L|3.25|5/36hrs|950|2|Gas Vent (2)|
5-* Beretta Model 200ST            3|4|26(c)|SA/BF|6L|2|5/24hrs|750|1.5|Recoil Compensation (1)|
5-* BudgetArms Laser-Niner         3|5(4)|15(35)(c)|SA/BF/FA|6L|1.5|4/36hrs|675|1.2|Caseless, Laser Sight|
5-* Ceska Black Scorpion           3|5|35(c)|SA/BF|6L|3|5/36hrs|850|2|Recoil Compensation (1)|
5-* Fichetti Executive Action      3|6|24(c)|SA/BF|6L|1.5|14/7days|1150|3|None|
5-* H&K VP80Z                      3|6|21(c)|SA/BF|6L|1.25|6/48hrs|1200|3|Recoil Compensation (1)|
5-* Micro Uzi III                  3|6|16(c)|BF|6L|1.5|6/36hrs|750|1|Laser Sight|
5-* Ruger P-4                      3|4|100(c)|BF|7L|1.25|8/48hrs|1350|2.25|None|
5-* Seco Quickfire                 3|5|18(c)|SA/BF/FA|6L|1.5|5/24hrs|750|2|None|
4-Heavy pistols
5-* Altmayr SP                     3|4|7(m)|SS|(Special)|3|4/48hrs|900|1.5|None|
5-* Ares Constrictor               3|6|6(cy)|DAR|10M|2.5|7/7days|400|2|Smartlink|
5-* Ares Jaguar                    3|5|6(cy)|DAR|10M|2.5|5/4days|300|1|Laser Sight|
5-* Ares Predator                  3|5|15(c)|SA|9M|2.25|3/24hrs|450|.5|None|
5-* Ares Predator II               3|4|15(c)|SA|9M|2.5|4/24hrs|550|.5|Smartlink|
5-* Ares Predator III              3|4|15(c)|SA|9M|2.5|6/36hrs|700|1|Smartlink II|
5-* Ares Stingray                  3|4|6(cy)|DAR|10M|2.75|7/7days|500|3|Laser Sight, Recoil Compensation (1)|
5-* Ares Stingray Smart            3|4|6(cy)|DAR|10M|2.75|7/7days|500|3|Smartlink, Recoil Compensation (1)|
5-* Ares Viper Silvergun           3|6|30(c)|SA/BF|9S(f)|2|3/48hrs|600|1|Silencer|
5-* Armalite 44                    3|4|8(c)|SA|9M|2.25|4/24hrs|450|1|None|
5-* Beretta Model 95S              3|5|15(c)|SA|9M|2.5|3/24hrs|500|1|Smartlink II|
5-* Beretta Model 95S-B            3|5|15(c)|SA/BF|9M|2.5|6/72hrs|750|1.75|Smartlink II|
5-* Beretta 100S                   3|5|15(c)|SA|9M|2.5|5/36hrs|650|1.5|Laser Sight, Silencer|
5-* Beretta 100S Smart             3|5|15(c)|SA|9M|2.5|5/36hrs|1300|1.5|Smartlink, Silencer|
5-* Beretta Model 110-T            3|5|16(c)|SA|9M|2|3/24hrs|400|1|Laser Sight|
5-* Bond & Carrington MP-11        3|4|15(30)(c)|SA/BF|9M|3|8/36hrs|1200|2|Gas Vent (2), Laser Sight|
5-* Bond & Carrington MP-11 Smart  3|4|15(30((c)|SA/BF|9M|3|8/36hrs|2000|2|Gas Vent (2), Smartlink|
5-* Browning Defender 10           3|5|15(c)|SA/BF|9M|2|5/36hrs|900|2|None|
5-* Browning Defender 10 Smart     3|5|15(c)|SA/BF|9M|2|5/36hrs|1800|2|Smartlink|
5-* Browning Max-Power             3|6|10(c)|SA|9M|2|3/24hrs|450|1|None|
5-* Browning Ultra-Power           3|6|10(c)|SA|9M|2.25|4/24hrs|525|1.5|Laser Sight|
5-* BudgetArms Auto 3              3|5|8(c)|SA|9M|2.25|4/12hrs|350|.7|None|
5-* Colt Alpha-Omega               3|4|10(c)|SA|9M|2.5|5/24hrs|500|1|Gas Vent (1), Smartlink|
5-* Colt AMT Model 2000            3|5|8(c)|SA|9M|2.5|5/24hrs|500|1|None|
5-* Colt Manhunter                 3|5|16(c)|SA|9M|2.5|4/24hrs|425|1|Laser Sight|
5-* Colt Manhunter S               3|5|16(c)|SA|9M|2.25|4/24hrs|600|1|Smartlink|
5-* Colt Manhunter S+              3|5|16(c)|SA|9M|2.25|6/48hrs|800|1|Smartlink II|
5-* Colt Peacemaker                3|4|6(cy)|SS|10M|2.75|3/24hrs|350|.9|None|
5-* Colt Penetrator                3|5|12(c)|SA|9M|2|4/24hrs|600|1.5|None|
5-* DinaTech F5A                   3|10|1|SS|10M|-|10/14days|500|3|None|
5-* DinaTech F5B                   3|10|1|SS|7S|-|12/14days|700|3|None|
5-* Federated Arms 454 DA          3|3|5(cy)|SS|11M|3.5|5/36hrs|1,375|1.25|None|
5-* Fichetti Hurricane             3|5|14(30)(c)|SA/BF|9S(f)|2|3/48hrs|600|1|None|
5-* Fichetti Military XI           3|4|18(c)|SA/BF|9M|2.25|5/36hrs|900|2|Laser Sight, Recoil Compensation (1)|
5-* Fichetti Military XI Smart     3|4|18(c)|SA/BF|9M|2.25|5/36hrs|1800|2|Smartlink, Recoil Compensation (1)|
5-* Glock 22 Mk. III               3|4|15(c)|SA|9M|2.5|6/24hrs|600|1.5|Laser Sight|
5-* Glock 22 Mk. III Smart         3|4|15(c)|SA|9M|2.5|6/24hrs|800|1.5|Smartlink|
5-* Glock 22 Mk. III Smart II      3|4|15(c)|SA|9M|2.5|6/24hrs|1000|1.5|Smartlink II|
5-* Glock Thirty Machine Pistol    3|6(5)|20(30)(c)|SA/BF|9M|2.5|6/36hrs|705|2|Gas Vent (2)|
5-* Goncz-Taurus Pistol            3|6(5)|15(30)(c)|SA|9M|2|4/48hrs|500|1|None|
5-* Goncz-Taurus Pistol(Selective) 3|6(5)|15(30)(c)|SA/FA|9M|2|8/72hrs|700|1.75|None|
5-* H&K "Blaster"                  3|4|6(m)|SS|12M|3|-|-|-|None|
5-* H&K OHWS                       3|5|12(c)|SA|9M|1.2|18/14 days|2,500|2|Flashlight, Laser Sight|
5-* Ingram Mk IV                   3|4|16(c)|SA/BF|10M|3|18/14 days|2500|3|Gas Vent (3), Smartlink|
5-* Malorian Arms 3516             3|4|6(c)|SS|12M|3|-|4,525|-|Smartlink II, Strength 4 required to shoot|
5-* Malorian Arms Heavy Flechette  3|5|special|SA|9M|2.5|9/48hrs|1595|2|Smartlink|
5-* Malorian Arms Sliver Gun       3|4|7(c)|SA|6S(f)|2.5|6/72hrs|1375|3|None|
5-* Morrissey Alta                 3|6|12(c)|SA|9M|1|8/48hrs|1200|2|Laser Sight|
5-* Morrissey Elite                3|6|5(c)|SA|9M|1|6/48hrs|950|2|Laser Sight|
5-* Nova .338 City Gun             3|5|7(c)|SA|10M|2.5|4/24hrs|460|1|None|
5-* Phoenix Gyroc                  3|3|3(b)|SA|ammo|3|8/7days|10000|2|None|
5-* Polymer One-Shot Cannon        3|5|1|SS|5S|1.5|3/12hrs|190|.6|None|
5-* Remington Roomsweeper          3|8|8(m)|SA|9S(f)|2.5|3/24hrs|300|1|None|
5-* Ruger Super Warhawk            3|4|6(cy)|SS|10M|2.5|3/24hrs|300|1|None|
5-* Riot Gun                       3|8|3(c)|SA|9S(f)|2|4/48hrs|500|1|None|
5-* Ruger M45                      3|6|18(c)|SA/FA|9M|2|8/60hrs|860|3|Laser Sight|
5-* Ruger P-105                    3|4|10(c)|SA|10M|2.5|4/24hrs|600|1|None|
5-* Ruger Warhawk                  3|5|6(cy)|SS|9M|2|3/24hrs|250|1|None|
5-* S&W "Tri-Star"                 3|3|6(cy)|SS|10M|2.5|6/24hrs|375|1.5|Laser Sight|
5-* Savalette Guardian             3|5|12(c)|SA/BF|9M|3.25|6/36hrs|900|2.5|Recoil Compensation (1), Smartlink II|
5-* Sig Sauer P300                 3|4|18(c)|SA|9M|3.25|8/48hrs|800|2|Caseless, Laser Sight, Silencer|
5-* SMF 'Interdictor'              3|3|5(cy)|SS|11M|3.5|10/7days|950|2|None|
5-* SternMeyer Type 35             3|5|8(c)|SA|9M|2.5|4/36hrs|400|1|None|
5-* SuperEagle                     3|4|7(c)|SA|11M|2.75|6/48hrs|600|1.5|Smartlink|
5-* Syrko Wolf                     3|5|17(c)|SA/BF|9M|2.5|5/48hrs|800|1.5|Smartlink|
5-* Walther Secura                 3|6|12(c)|SA|9M|1.5|5/48hrs|500|1.5|None|
5-* Zastava Magnum Model 2054      3|5|7(cy)|SS|9M|1.75|4/36hrs|350|.9|None|
3-Tasers
4-* Colt TP-6A                     3|7|6(m)|SS|8S|.75|6/24hrs|550|1|None|
4-* Defiance Super Shock           3|4|4(m)|SA|10S|2|5/24hrs|1000|1|Low-light Scope|
4-* Miltech Electronics Taser      3|6|10(m)|SS|8S Stun|1.5|5/36hrs|600|1.4|None|
4-* Stundart Pistol                3|3|2(b)|SS|10S Stun|3.5|8/4days|1090|2|None|
4-* Techtronica Model 009          3|3|6(c)|SS|10S Stun|3.5|8/72hrs|1950|2.5|None|
4-* Yamaha Pulsar                  3|5|4(m)|SA|10S Stun|2|12/7days|1350|2|None|
3-Special weapons
4-* Ares Cascade                   3|4|60|SA|(Special)|5.5|12/14days|1800|2|None|
4-* Ares ELD-AR                    3|4|50(c)|SA/BF|(Special)|4.5|9/7days|950|2|None|
4-* Ares Squirt                    3|7|10/20|SA|(Special)|1.75|8/3days|750|2|None|
4-* Ares SuperSquirt II            3|7|20|SA|(Special)|2|9/14days|800|1.5|None|
4-* Avante P-1135 Needlegun        3|5|15(c)|SA|5L|1|2/12hrs|200|.75|None|
4-* Enerts AKM Power Squirt        3|5|50(m)|SS|(Drugs)|1|always|15|1|None|
4-* FAB-NG Netgun, Normal          3|3|4(b)|SA|(Special)|4.5|8/14days|1500|4|None|
4-* FAB-NG Netgun, Large           3|2|4(b)|SA|(Special)|5|8/14days|2500|5|None|
4-* Kendachi Dragon flamethrower   3|3|4(m)|SS|10M|4.25|10/5 days|1,660|4.5|None|
4-* Micro-Missile Pod              3|(-2)|1(m)|SS|(Micromissile)|.75|8/5days|2000|1.9|None|
4-* Militech Urban Missile Launchr 3|3|12(c)|SA|(Micromissile)|3.5|10/7days|4500|2|None|
4-* Narcoject Pistol               3|7|5(c)|SA|(As toxin)|1.5|6/2days|600|2|None|
4-* Narcoject Rifle                3|4|10(c)|SA|(As toxin)|3.25|8/2days|1700|2|None|
4-* Nelspot "Wombat" Airpistol     3|4|20(c)|SA|4L Stun|1.5|2/24hrs|200|.75|None|
4-* Net Gun, Normal                3|4|4(b)|SA|(Special)|4|8/36hrs|750|2|Laser Sight|
4-* Net Gun, Large                 3|3|4(b)|SA|(Special)|4.5|8/36hrs|1150|2|Laser Sight|
4-* Pursuit Security Webgun        3|3|1(m)|SS|(Special)|3.5|6/3days|500|2.5|None|
4-* Rostovic Wrist Racate          3|6|6(m)|SA/BF|9S|2.5|18/20days|3800|3.5|None|
4-* Sonic Stunner                  3|6|10|SA|15M|2|6/36hrs|1000|1.5|None|
4-* Spetsdod                       3|7|15(c)|SS|(Dart)|.25|18/21days|3600|1|None|
4-* Techtronica M40 "Pulse Rifle"  3|1|6(c)|SS|(Special)|8.5|-|3500|-|None|
4-* Tsunami Arms "Airhammer" #1    3|5|5(cy)|SA|(Special)|1.5|11/14days|325|2.5|Gun Camera, Laser Sight|
4-* Tsunami Arms "Airhammer" #2    3|5|7(cy)|SA|special|1.5|12/14days|400|3|Smartlink|
4-* Underbarrel Capacitor Laser    3|(-2)|2(20)|SA|10M|5|24/21 days|95000|3.5|None|
3-Submachine guns
4-* AK-97 SMG/Carbine              3|4|30(c)|SA/BF/FA|6M|4|5/3days|800|1|None|
4-* Arasaka Minami 10              3|6|40(c)|SA/BF/FA|7M|3.25|3/24hrs|1000|.9|None|
4-* Beretta M-24 Advanced          3|4|50(c)|BF/FA|7M|3.5|6/4days|950|1.25|None|
4-* Beretta M-24 Advanced Smart    3|4|50(c)|BF/FA|7M|3.5|6/4days|1250|1.25|Smartlink|
