species,url,description,flowering
eucalyptus_aromaphloia_subsp._aromaphloia,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_aromaphloia_subsp._aromaphloia.htm,"Tree to 18 m tall. Forming a lignotuber.Bark rough to small branches, thick, furrowed longitudinally, dark grey to blackish, densely fibrous, sometimes with horizontal black scars, smooth branchlets salmon-coloured.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, slightly warty or smooth; juvenile leaves usually shortly petiolate, opposite for several pairs then becoming alternate, elliptical to oblong at first, eventually more ovate then falcate (the duration of juvenile phases is very variable), 3–7.8 cm long, 0.9–3.5 cm wide, margin entire or crenulate, grey-green, blue-green or green, only the new growing tips glaucous.Adult leaves alternate, petiole 0.8–2.2 cm long; blade lanceolate to falcate, 7.5–20 cm long, 1–2 cm wide, flat (rarely undulate), base tapering to petiole, margin entire, concolorous, glossy or dull, green to grey-green, side-veins greater than 45° to midrib, moderately to densely reticulate, intramarginal vein parallel to and well removed from margin, oil glands island or intersectional.Inflorescence axillary unbranched, peduncles 0.3–0.8 cm long, buds 7 per umbel (rarely more), pedicels to 0.3 cm long or rarely buds sessile. Mature buds ovoid to fusiform, 0.4–0.5 cm long, 0.3–0.4 cm wide, green tinged red, scar present, operculum conical, stamens inflexed or irregularly flexed, anthers cuneate to cuboid, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white.Fruit sessile or pedicellate (pedicels to 0.4 cm long), cup-shaped, obconical or hemispherical, 0.3–0.4 cm long, 0.4–0.7 cm wide, disc raised, valves 3 or 4, strongly exserted. Seed brown, reddish brown or grey, 1–2.5 mm long, ovoid or flattened-ovoid, often pointed at one end, dorsal surface usually lacunose, dorsal surface shallowly pitted, hilum ventral.Cultivated seedlings (measured at ca node 10): cotyledons bilobed to oblong; stems rounded in cross-section; leaves always shortly petiolate, opposite for 9 to 16 nodes then alternate, elliptical to oblong, 3–7 cm long, 0.8–3.5 cm wide, base tapering, apex rounded, margin subcrenulate, green to bluish green. Leaves ovate by ca node 20.","Flowering has been recorded in January, February and March."
eucalyptus_aromaphloia_subsp._sabulosa,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_aromaphloia_subsp._sabulosa.htm,"Tree to 15 m tall. Forming a lignotuber.Bark rough to small branches or branches < 8 cm diameter smooth; rough bark thick, furrowed longitudinally, dark grey to blackish, densely fibrous, sometimes with horizontal black scars, smooth branches salmon-coloured, sometimes with ribbons of decorticated bark in the upper branches.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, warty or smooth; juvenile leaves usually shortly petiolate, opposite for 7 to ca 20 nodes then becoming alternate (but may revert to opposite for a few nodes), narrowly lanceolate, narrowly oblong to linear or narrowly falcate 2.5–9 cm long, 0.4–1.2 cm wide, margin entire or crenulate, usually green, new growing tips not glaucous.Adult leaves alternate, petiole 0.5–2 cm long; blade narrowly lanceolate to falcate, 7.5–16 cm long, 1–2 cm wide, base tapering to petiole, margin entire, concolorous, slightly glossy or dull, green, side-veins greater than 45° to midrib, moderately to densely reticulate, intramarginal vein parallel to and well removed from margin, oil glands island or intersectional.Inflorescence axillary unbranched, peduncles 0.3–0.7 cm long, buds 7 per umbel, pedicels 0.1–0.2 cm long. Mature buds ovoid to fusiform, 0.5–0.7 cm long, 0.3–0.4 cm wide, yellow or green, scar present, operculum conical, stamens inflexed or irregularly flexed, anthers cuneate or cuboid, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white.Fruit sessile or pedicellate (pedicels 0–0.1 cm long), cup-shaped, hemispherical or obconical, 0.3–0.4 cm long, 0.4–0.6 cm wide, disc raised or level, valves 3 or 4, strongly exserted.Seeds dark brown or black, 1–2 mm long, ovoid or flattened-ovoid, usually lacunose, dorsal surface shallowly pitted, hilum ventral.Cultivated seedlings (measured at ca node 10): cotyledons bilobed to oblong; stems rounded in cross-section; leaves sessile to shortly petiolate, opposite for 7 to 20 nodes then alternate, linear to narrowly oblong, 4–14 cm long, 0.7–2 cm wide, base tapering, apex rounded, margin subcrenulate, green to greyish green.
","Flowering has been recorded in February, March and April. "
eucalyptus_articulata,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_articulata.htm,"Mallee to 3 m tall. Forming a lignotuber.Bark smooth throughout, coppery or bronze.Branchlets with oil glands in the pith.Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, opposite for few nodes then alternate, broadly lanceolate, 6–12 cm long, 1–1.5 cm wide, dull, blue-green (non-glaucous).Adult leaves alternate, petioles 0.8–1.8 cm long; blade lanceolate, 6–12 cm long, 1–1.5 cm wide, base tapering to petiole, margin entire, apex acute, concolorous, glossy, dark green, side-veins acute, reticulation sparse to moderate, intramarginal vein remote from margin, oil glands numerous, island, irregular.Inflorescence axillary unbranched, or at times apparently terminal due to loss of apical vegetative bud, peduncles flattened, 0.5–1.5 cm long, buds 7 per umbel, stoutly pedicellate (pedicels (0.2)0.4–0.6 cm long). Mature buds obovoid to pyriform (0.7–0.9 cm long, 0.3–0.5 cm wide), scar present, operculum rounded and sometimes apiculate or bluntly conical, stamens inflexed with their filaments geniculate, anthers cuboid, versatile, sub-basifixed, dehiscing by longitudinal slits, style long and straight, the base tapering and articulate in a pit in the ovary roof, stigma blunt to rounded, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers white.Fruit pedicellate (pedicels 0.2–0.7 cm long), obconical or at times almost cylindrical, 0.7–0.9 cm long, 0.4–0.7 cm wide, disc descending vertically, valves 3 or 4, enclosed to near rim level.Seeds brown, 0.7–1.5 mm long, ovoid to flattened-ovoid or cuboid but scarcely angular, dorsal surface shallowly reticulate, hilum ventral.Cultivated seedlings (measured at ca node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 3 to 6 nodes, lanceolate, 5–10 cm long, 1.2–3 cm wide, green, slightly glossy.
",Flowering has been recorded in July.
eucalyptus_aspersa,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_aspersa.htm,"Mallee to 4 tall, or (on Mt Saddleback) a tree to 6 m. Forming a lignotuber.Bark usually rough over most of the stems, flaky or fibrous, usually held in loose slabs, light grey to yellowish-brown, rarely almost smooth-barked.Branchlets lacking oil glands in the pith.Juvenile growth (coppice or field seedlings to 50 cm): stems square to rounded in cross-section; juvenile leaves alternate, shortly petiolate, elliptical to ovate, 2–7.5 cm long, 1.4–3 cm wide, bluish green.Adult leaves alternate, petiole 0.5–2 cm long; blade narrowly lanceolate to lanceolate, occasionally falcate, (4.5)5.5–12 cm long, (0.8)1–2 cm wide, base tapering to petiole, concolorous, slightly glossy (rarely dull), light green, side-veins at an acute or wider angle to midrib, moderately to densely reticulate, intramarginal vein parallel to and just within margin, oil glands mostly intersectional.Inflorescence axillary unbranched, peduncles 0.5–1.2 cm long, buds more than 7 per umbel, pedicels 0.2–0.4 cm long. Mature buds narrowly ovoid (0.8–1.1 cm long, 0.3–0.4 cm wide), scar present, operculum beaked (0.5–0.8 cm long), stamens irregularly flexed or rarely inflexed, anthers weakly versatile or adnate, basifixed, globoid, dehiscing by lateral pores, style long, stigma tapered, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white.Fruit pedicellate (pedicels 0.2–0.3 cm long), usually urceolate, occasionally truncate-globose to cup-shaped, 0.4–0.8 cm long, 0.4–0.7 cm wide, disc descending, valves 3 or 4, valve tips strongly exserted due to fragile style remnants.Seeds brown or grey, 0.9–1.1 mm long, ovoid or flattened-ovoid, occasionally with shallow longitudinal furrows on otherwise smooth dorsal surface, hilum ventral.Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems square in cross-section; leaves opposite, sessile and linear for the first 5 or 6 nodes then alternate, shortly petiolate and becoming elliptical to ovate further up the stem, 2–4 cm long, 0.8–2 cm wide, dull green.
",Flowering time unknown.
eucalyptus_aspratilis,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_aspratilis.htm,"Mallee to 5 m tall. Forming a lignotuber.Bark rough for up to 2 m of trunks, loose, flaky to ribbony, grey to blackish brown, sometimes smooth throughout, silvery grey to pale brown-grey.Branchlets with oil glands in the pith.Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, alternate, ovate to lanceolate, 2.5–7 cm long, 1.5–2.5 cm wide, dull, blue-grey (not glaucous).Adult leaves alternate, petioles 0.7–2 cm long; blade lanceolate, 5.5–10.5 cm long, 1–2.2 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, initially dull and bluish green maturing glossy green, side-veins at an acute or wider angle to midrib, reticulation sparse, clear, intramarginal vein present or obscure, oil glands numerous, island, rounded.Inflorescence axillary unbranched, pendulous, peduncles narrowly angled to flattened and widest apically, 1.5–4.7 cm long, buds 7 per umbel, pedicellate (pedicels 0.4–0.8 cm long). Mature buds elongated to asymetrically fusiform (2–3 cm long, 0.5–0.7 cm wide), scar present (outer operculum shed early), inner operculum horn-shaped, 2 to 3 times the length of the hypanthium, stamens erect, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 4(5), the placentae each with 4 vertical rows of ovules. Flowers cream to pale yellow or yellowish green.Fruit down-turned, pedicellate (pedicels 0.4–0.8 cm long), usually cylindrical or less commonly obconical, 1–1.5 cm long, 0.7–1.2 cm wide, disc level at first then descending, valves 4(5), held at rim level.Seeds blackish brown, 1–2 mm long, ovoid to flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral.Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 3 or 4 nodes, ovate to lanceolate, 5.5–9 cm long, 1.5–2.5 cm wide, dull, grey-green.
","Flowering has been recorded in May, July and August."
eucalyptus_astringens_subsp._astringens,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_astringens_subsp._astringens.htm,"Mallet to 15 m tall, rarely to 25 m. Lignotuber absent.Bark smooth throughout, pale shiny grey over salmon to brown, but often with small curled flakes of dead bark adhering to lower trunk.Branchlets with oil glands in the pith.Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, alternate, ovate-lanceolate, 6–10 cm long, 2–6 cm wide, dull, grey-green.Adult leaves alternate, petioles 1–2.5 cm long; blade lanceolate, rarely falcate, 6–14 cm long, (0.8)1–2.5(3.5) cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, green, at least slightly glossy, side-veins at an acute or wider angle to midrib, reticulation sparse to moderate (or sometimes dense) and clear, intramarginal vein present, oil glands numerous, ± round, island and intersectional.Inflorescence axillary unbranched, spreading to pendulous, peduncles narrowly to broadly flattened, 1.2–3.2 cm long, buds 7 per umbel, pedicellate (pedicels 0.2–0.9 cm long). Mature buds stubby to slightly elongated, 1.5–2 cm long, 0.5–0.7 cm wide, swollen at or just below the join, scar present (outer operculum shed early), inner operculum horn-shaped but usually blunt, ca 1.2–2 times the length of the hypanthium, stamens erect, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers cream to pale lemon.Fruit pedicellate (pedicels 0.2–0.7 cm long), cupular to campanulate or obconical, 0.7–1.2 cm long, 0.6–1 cm wide, disc level at first then descending, valves 3 or 4, held at rim level or slightly exserted.Seeds blackish brown, 1–2.5 mm long, ovoid to flattened-ovoid, dorsal surface shallowly and clearly reticulate, hilum ventral.Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 4 or 5 nodes then alternate, deltoid to ovate, 4–8 cm long, 2–6.5 cm wide, dull, green to blue-green.
","Flowering has been recorded in July, August, September, October and November."
eucalyptus_astringens_subsp._astringens,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_astringens_subsp._astringens.htm,"Mallet to 15 m tall, rarely to 25 m. Lignotuber absent.Bark smooth throughout, pale shiny grey over salmon to brown, but often with small curled flakes of dead bark adhering to lower trunk.Branchlets with oil glands in the pith.Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves always petiolate, alternate, ovate-lanceolate, 6–10 cm long, 2–6 cm wide, dull, grey-green.Adult leaves alternate, petioles 1–2.5 cm long; blade lanceolate, rarely falcate, 6–14 cm long, (0.8)1–2.5(3.5) cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, green, at least slightly glossy, side-veins at an acute or wider angle to midrib, reticulation sparse to moderate (or sometimes dense) and clear, intramarginal vein present, oil glands numerous, ± round, island and intersectional.Inflorescence axillary unbranched, spreading to pendulous, peduncles narrowly to broadly flattened, 1.2–3.2 cm long, buds 7 per umbel, pedicellate (pedicels 0.2–0.9 cm long). Mature buds stubby to slightly elongated, 1.5–2 cm long, 0.5–0.7 cm wide, swollen at or just below the join, scar present (outer operculum shed early), inner operculum horn-shaped but usually blunt, ca 1.2–2 times the length of the hypanthium, stamens erect, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers cream to pale lemon.Fruit pedicellate (pedicels 0.2–0.7 cm long), cupular to campanulate or obconical, 0.7–1.2 cm long, 0.6–1 cm wide, disc level at first then descending, valves 3 or 4, held at rim level or slightly exserted.Seeds blackish brown, 1–2.5 mm long, ovoid to flattened-ovoid, dorsal surface shallowly and clearly reticulate, hilum ventral.Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 4 or 5 nodes then alternate, deltoid to ovate, 4–8 cm long, 2–6.5 cm wide, dull, green to blue-green.
","The timber of E. astringens is very hard and strong. The species has been cultivated for use in tool handles, mining timber, farm purposes and fuel. The bark has a high tannin content.Eucalyptus astringens subsp. astringens has been recorded as having become naturalised near Glenmore in Victoria, spreading from soil conservation plantings."
eucalyptus_astringens_subsp._redacta,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_astringens_subsp._redacta.htm,"Mallet to 5 m tall. Lignotuber absent. Bark smooth throughout, grey over yellow then shiny bronze to salmon-coloured.Branchlets with oil glands in the pith.Juvenile growth (coppice or field seedlings to 50 cm): not seen.Adult leaves alternate, petioles 0.8–2.5 cm long; blade lanceolate, rarely falcate, 5–10.5 cm long, 1–2.5(3) cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, green, at least slightly glossy, side-veins at an acute or wider angle to midrib, reticulation moderate to dense and broken, intramarginal vein present, oil glands numerous, island and intersectional.Inflorescence axillary unbranched, spreading to erect, rarely pendulous, peduncles flattened or only slightly so, 0.8–2.5(3) cm long, buds 7 per umbel, pedicellate (pedicels 0.2–0.9 cm long). Mature buds elongated-ovoid (1.0–1.5(2) cm long, 0.3–0.6 cm wide), flared at the join of operculum and hypanthium, scar present (outer operculum lost early), inner operculum bluntly horn-shaped, ca 1.5–2 times the length of the hypanthium, stamens erect, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers creamy white to pale lemon, rarely pink to red.Fruit erect, spreading or rarely downturned, pedicellate (pedicels 0.1–0.4 cm long), cupular to obconical or campanulate, 0.7–0.8 cm long, 0.6–0.8 cm wide, disc level at first then descending, valves 3 or 4, held at rim level or exserted.Seeds blackish brown, 0.8–2 mm long, ovoid to flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral.Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 4 to 6 nodes then alternate, ovate, 5–7.5 cm long, 4–6 cm wide, dull, grey-green.
","Flowering has been recorded in August, September, October and November."
eucalyptus_astringens_subsp._redacta,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_astringens_subsp._redacta.htm,"Mallet to 5 m tall. Lignotuber absent. Bark smooth throughout, grey over yellow then shiny bronze to salmon-coloured.Branchlets with oil glands in the pith.Juvenile growth (coppice or field seedlings to 50 cm): not seen.Adult leaves alternate, petioles 0.8–2.5 cm long; blade lanceolate, rarely falcate, 5–10.5 cm long, 1–2.5(3) cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, green, at least slightly glossy, side-veins at an acute or wider angle to midrib, reticulation moderate to dense and broken, intramarginal vein present, oil glands numerous, island and intersectional.Inflorescence axillary unbranched, spreading to erect, rarely pendulous, peduncles flattened or only slightly so, 0.8–2.5(3) cm long, buds 7 per umbel, pedicellate (pedicels 0.2–0.9 cm long). Mature buds elongated-ovoid (1.0–1.5(2) cm long, 0.3–0.6 cm wide), flared at the join of operculum and hypanthium, scar present (outer operculum lost early), inner operculum bluntly horn-shaped, ca 1.5–2 times the length of the hypanthium, stamens erect, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers creamy white to pale lemon, rarely pink to red.Fruit erect, spreading or rarely downturned, pedicellate (pedicels 0.1–0.4 cm long), cupular to obconical or campanulate, 0.7–0.8 cm long, 0.6–0.8 cm wide, disc level at first then descending, valves 3 or 4, held at rim level or exserted.Seeds blackish brown, 0.8–2 mm long, ovoid to flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral.Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section; leaves always petiolate, opposite for 4 to 6 nodes then alternate, ovate, 5–7.5 cm long, 4–6 cm wide, dull, grey-green.
","The timber of E. astringens is very hard and strong. The species has been cultivated for use in tool handles, mining timber, farm purposes and fuel. The bark has a high tannin content."
eucalyptus_atrata,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_atrata.htm,"
Usually a small tree to 10 m tall, occasionally taller to 15 m. Forming a lignotuber.Ironbark to the small branches, dark grey to black; branchlets usually glaucous but this wax fades with age.Juvenile growth (coppice or field seedlings to 50 cm): stem square to rounded in cross-section, glaucous; juvenile leaves petiolate, alternate, ovate to broadly lanceolate, 8–19 cm long, 3.5–8 cm wide, base tapering to petiole, glaucous.Adult leaves alternate, petiole 1.7–3 (3.5) cm long; blade lanceolate, 8–15 (17.5) cm long, 1.4–3.4 cm wide, base tapering to petiole, concolorous, dull, blue-grey to glaucous, side-veins normally at an angle greater than 45° to midrib, densely reticulate, intramarginal vein parallel to and just within margin, oil glands intersectional.Inflorescence terminal compound, peduncles 0.5–1.2 cm long, buds usually 7 per umbel, pedicels(0.2)0.4–0.6 cm long. Mature buds obovoid to ovoid, 0.6–0.8 cm long, 0.4–0.5 cm wide, glaucous, scar usually present (first operculum sheds very early in bud development), operculum conical to rounded to sometimes slightly beaked, stamens irregularly flexed, anthers cuboid, adnate, slits or pores separate, style long, stigma pin-head shaped, locules 4, the placentae each with 4 vertical ovule rows. Flowers white.Fruit on pedicels 0.2–0.7 cm long, cup-shaped to hemispherical, 0.4–0.8 cm long, 0.5–0.8 cm wide, young fruit usually glaucous but this wax fades with age, disc level to descending, valves 4, tips near the rim or enclosed or sometimes slightly exserted.Seeds brown, 1–1.8 mm long, flattened-ovoid, dorsal surface shallowly reticulate, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons oblong to reniform; stems square in cross-section; leaves always petiolate, opposite for 4–6 nodes then alternate, broadly lanceolate, 7.5–11 cm long, 3–7 cm wide, base tapering, margin entire, apex pointed, slightly discolorous, dull, grey-green.
","Flowering has been recorded in January, February, September and December."
eucalyptus_aurifodina,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_aurifodina.htm,"
Small tree to 10 m tall, at times multi-stemmed. Forming a lignotuber.Bark rough to small branches stringy, grey over red-brown.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, scabrid for first few leaf pairs, soon becoming smooth; juvenile leaves opposite and sessile for very few pairs, scabrid above and below, becoming alternate, petiolate, ovate, (3)5–8.5 cm long, 2–4 cm wide, margin entire, becoming smooth, thickish, green and glossy.Adult leaves alternate, petiole 1.2–2 cm long; blade ovate or almost elliptical, 4–8.5 cm long, 1.4–3 cm wide, base oblique, margin entire, thickish, concolorous, glossy, green, side-veins at an acute angle to midrib, moderately reticulate, intramarginal vein parallel to margin, oil glands island.Inflorescence axillary unbranched, peduncles 0.4–1.3 cm long, buds in umbels of 9 to ?15, pedicels 0.2–0.5 cm long. Mature buds  ovoid, ca 0.6 cm long, 0.3 cm wide, yellow, smooth (not warty), scar absent, operculum conical, stamens irregularly flexed, anthers reniform to cordate, versatile, dorsifixed, dehiscing by confluent slits, style long, stigma blunt, locules 3 or 4, the placentae each with 2 vertical ovule rows. Flowers white.Fruit pedicellate (pedicels to 0.2–0.5 cm), hemispherical, 0.3–0.5 cm long, 0.5–0.9 cm wide, disc raised or level, valves 3 or 4, slightly exserted or near rim level.Seeds blackish, 1.5–2 mm long, pyramidal or obliquely pyramidal, dorsal surface smooth, hilum terminal. Cultivated seedlings (measured at ca node 10): cotyledons reniform; (after Rule (2012): stems rounded in cross-section, stellate-hairy; leaves sessile ovate, not measured, discolorous, green above, paler on underside., stellate-hairy.
",Flowering has been recorded in April.
eucalyptus_badjensis,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_badjensis.htm,"
Tree to 45 m tall. Forming a lignotuber.Bark rough on lower trunk only, compacted, hard, blackish or grey, upper trunk and branches smooth grey, green, cream, brown or white, often with ribbons of decorticated bark in the upper branches.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded or square in cross section, sometimes warty; juvenile leaves opposite, sessile, usually amplexicaul, for many pairs, lanceolate, 3.5–8 cm long, 0.8–2 cm wide, green.Adult leaves alternate, petiole 0.6–1.4 cm long; blade narrowly lanceolate to linear or falcate, 8.5–20 cm long, 1–2 cm wide, base tapering to petiole, concolorous, dull, green, side-veins at an acute or wider angle to midrib, sparsely to moderately reticulate, intramarginal vein parallel to and just within margin, oil glands mostly island.Inflorescence axillary unbranched, peduncles 0.3–0.4 cm long, buds 3 per umbel, sessile or on pedicels to 0.2 cm long. Mature buds ovoid, 0.4–0.5 cm long, 0.3–0.4 cm wide, green to yellow, smooth, scar present, operculum conical, stamens inflexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white.Fruit sessile or on pedicels to 0.2 cm long, obconical or campanulate, 0.3–0.5 cm long, 0.4–0.6 cm wide, disc raised, valves 3 or 4, strongly exserted.Seeds black, brown or grey, 1.6–2 mm long, ovoid or flattened-ovoid or pointed at one end, lacunose, dorsal surface smooth or shallowly reticulate, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons bilobed to oblong; stems square to rounded in cross-section, warty; leaves sessile and opposite for at least 23 nodes, lanceolate, 3.5–6 cm long, 0.8–2.2 cm wide, stem-clasping, green. 
",Flowering has been recorded in January.Eucalyptus badjensis is becoming an important plantation species for timber and fibre production.
eucalyptus_baeuerlenii,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_baeuerlenii.htm,"Mallee to 10 m tall, or tree to 20 m tall. Forming a lignotuber.Bark smooth, pink, brown, grey, cream or green.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded or square in cross-section, warty or smooth; juvenile leaves opposite for 10 to 15 nodes, becoming alternate but often reverting for a few nodes, sessile or petiolate, lanceolate, 3.5–9.5 cm long, 1.3–2.8 cm wide, green or slightly grey-green.Adult leaves alternate, petiole 0.5–1.8 cm long; blade lanceolate to falcate, 7–17.5 cm long, 0.6–3 cm wide, base tapering to petiole, concolorous, glossy or dull, green, side-veins greater than 45° to midrib, moderately to densely reticulate, intramarginal vein parallel to and just within margin, oil glands island and intersectional.Inflorescence axillary unbranched, peduncles 0.2–0.5 cm long, buds 3 per umbel, usually sessile, rarely with pedicels to 0.2 cm long. Mature buds oblong to fusiform, 0.7–1 cm long, 0.4–0.6 cm wide, green to yellow, usually warty, slightly angled, scar present, operculum beaked to conical, stamens inflexed or irregularly flexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, locules 3 or 4(5) each with 4 vertical ovule rows. Flowers white.Fruit sessile (rarely pedicel 0.1 cm long), campanulate, cup-shaped or obconical, 0.5–1 cm long, 0.8–1.2 cm wide, disc usually level or slightly raised, valves 3 or 4(5), strongly exserted.Seeds dark grey to black, 1.5–2.5 mm long, ovoid or flattened-ovoid, lacunose, dorsal surface shallowly pitted, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons bilobed to oblong; stems square in cross-section, warty; leaves sessile and opposite for at least 13 nodes, rarely fewer, ovate-lanceolate, 3.5–7 cm long, 1.3–3.5 cm wide, base rounded to tapering, green to grey-green.
","Flowering has been recorded in March, April, May and September."
eucalyptus_baileyana,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_baileyana.htm,"Tree to 40 m tall. Forming a lignotuber.Bark rough on trunk and larger branches, stringy or fibrous, grey to reddish-brown.Branchlets with oil glands in the pith.Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, scabrid with stellate hairs; juvenile leaves always petiolate, opposite for a few pairs, becoming alternate, lanceolate, 6–15 cm long, 2.5–7.5 cm wide, margin entire, discolorous, usually dark green, scabrid for many pairs; new growth tips conspicuously stellate-hairy and often bright pink.Adult leaves alternate, petiole 1.2–2 cm long; blade lanceolate to falcate, 9–16.5 cm long, 1–2.5 cm wide, base oblique or tapering to petiole, discolorous, glossy or dull, dark green, side-veins greater than 45° to midrib, moderately to densely reticulate and fine, intramarginal vein parallel to and just within margin, oil glands mostly island.Inflorescence axillary unbranched, peduncles 1.5–2.5 cm long, buds 7 per umbel, pedicels 0.3–0.9 cm long. Mature buds clavate to pyriform, 0.5–0.8 cm long, 0.3–0.5 cm wide, brown, or green, often with 2 longitudinal ribs, scar absent (minute sepals present and positioned on upper part of the hypanthium), operculum conical or rounded and ""apiculate"", stamens arranged in 4 groups, inflexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style short, locules 3, the placentae each with 4 vertical ovule rows. Flowers white.Fruit pedicellate (pedicels 0.3–1.2 cm long), truncate-globose or urceolate, 0.9–1.5 cm long, 0.8–1.7 cm wide, sometimes ribbed longitudinally, rim with 4 small lobes (formed from the sepals), disc descending, valves 3, slightly exserted or near rim level.Seeds dark grey to black, 3–5 mm long, flattened-ovoid to flattened, dorsal surface smooth or shallowly pitted, hilum ventral. Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section, stellate-hairy; leaves always petiolate, opposite for 2 or 3 nodes then alternate, usually ovate, sometimes lanceolate, 6–15 cm long, 3–7.5 cm wide, base lobed to rounded, strongly discolorous, dark green above, paler below, with stellate hairs on petiole, veins and margin.
","Flowering has been recorded in January, April, October, November and December."
